month,year,count,mean_brightness,mean_bright31,mean_frp,mean_max_temp,mean_min_temp,mean_rainfall,anomaly,average_temp
12,2005,358,326.22318435754187,303.36871508379886,29.47905027932961,29.726361938709676,17.567790840425534,82.60301010638298,12.158571098284142,23.647076389567605
1,2006,520,329.0201923076923,304.9882692307692,36.13923076923077,28.726308985655738,15.020452073453095,33.21605543473054,13.705856912202643,21.873380529554417
2,2006,666,329.74504504504506,301.4018018018018,40.62462462462462,22.222404225114854,13.275216028582316,145.49918947865854,8.947188196532538,17.748810126848586
3,2006,387,335.9906976744186,302.56614987080104,58.13023255813954,29.688671579411768,20.67453716811989,127.07276677792915,9.014134411291877,25.18160437376583
4,2006,68,324.4779411764706,298.6058823529412,25.680882352941175,31.29669825862069,20.55493541875,70.04096685781249,10.741762839870692,25.925816838685343
5,2006,38,317.5,293.91052631578947,26.110526315789475,25.47727236842105,14.419968644736842,157.21497767894735,11.057303723684209,19.948620506578948
6,2006,36,319.85555555555555,295.71944444444443,29.98611111111111,25.64150312121212,14.14220675151515,102.8996781060606,11.499296369696971,19.891854936363636
7,2006,29,322.7241379310345,298.17241379310343,23.900000000000002,28.897754428571428,17.069104071428573,113.42930082142857,11.828650357142855,22.98342925
8,2006,85,325.00470588235294,300.63882352941175,30.204705882352943,29.389715858823532,17.716450823529414,241.9474401647059,11.673265035294119,23.553083341176475
9,2006,261,332.52758620689656,306.8521072796935,34.23141762452107,31.04040812403101,18.468471681538464,114.75777723846154,12.571936442492547,24.75443990278474
10,2006,291,332.2697594501718,304.5171821305842,39.004123711340206,29.088825305841922,18.152168762886596,25.29757638089347,10.936656542955326,23.62049703436426
11,2006,30,318.97333333333336,297.3,27.7,31.186391033333333,22.181305133333336,79.7059871,9.005085899999997,26.683848083333334
12,2006,14,317.35714285714283,298.8285714285715,14.75,29.193104692307692,19.915820384615383,164.2266723076923,9.277284307692309,24.554462538461536
1,2007,83,322.5313253012048,301.9457831325301,24.81686746987952,31.670218554216866,18.66325437682927,30.708611246341462,13.006964177387598,25.166736465523066
