,rmse_train,rmse_test,mase_test,bias_test,theta,n
dyear5_1.5_78,378.46287246351307,290.8282712071392,0.5014840331036873,-inf,1.5,60.0
dyear5_1.5_79,371.3132942677921,424.88429797612747,0.7651732221932795,-inf,1.5,60.0
dyear5_1.5_80,365.1666001064902,460.0032608580074,0.8738678402857508,-inf,1.5,60.0
dyear5_1.5_81,392.48179363294463,377.8681427870486,0.6825414139651235,-inf,1.5,60.0
dyear5_1.5_82,412.08059486788096,425.4746369252422,0.6851064925699862,-inf,1.5,60.0
dyear5_1.5_83,391.2872452985573,410.28282927756067,0.6293744404219705,-inf,1.5,60.0
dyear5_1.5_84,388.29992703235644,478.03303581795825,0.7825773859133511,-1.1812544451868272,1.5,60.0
dyear5_1.5_85,352.1723358906356,397.6231465428876,0.7432630484114977,-0.4712715540149827,1.5,60.0
dyear5_1.5_86,404.6720379929077,455.94197364723215,1.0114666055793118,-inf,1.5,60.0
dyear5_1.5_87,363.74633446033977,406.96447428901376,0.7870037606526552,-inf,1.5,60.0
dyear5_1.5_88,405.8315280589553,401.2303993135781,0.6467443587963809,-inf,1.5,60.0
dyear5_1.5_89,405.31659436379687,332.07604550765177,0.671939287072572,-inf,1.5,60.0
dyear5_1.5_90,353.7833023193718,344.3594294725595,0.6741213925411395,-inf,1.5,60.0
dyear5_1.5_91,396.64367930591476,363.19852239053324,0.6790224753446916,-inf,1.5,60.0
dyear5_1.5_92,391.90852461597035,454.15810389481476,0.8171151859869547,-inf,1.5,60.0
dyear5_1.5_93,357.67737441256565,395.5634167446058,0.7808901595702786,-inf,1.5,60.0
dyear5_1.5_94,349.6234879600244,347.1391411715673,0.7216153818075632,-inf,1.5,60.0
dyear5_1.5_95,401.4472775678852,458.4313834515841,0.9522153655271492,-inf,1.5,60.0
dyear5_1.5_96,358.32419561992555,331.01825226614517,0.540927464630586,-3.8004641060030715,1.5,60.0
dyear5_1.5_97,385.4152522496569,439.30408982085896,0.900625884748135,-inf,1.5,60.0
dyear5_1.5_98,385.16938914370303,323.5186754011789,0.561121535993038,-14.6651261600193,1.5,60.0
dyear5_1.5_99,313.72041693201925,389.41280581579923,0.7792709683853596,-0.5149217567935817,1.5,60.0
dyear5_1.5_100,430.80825201010254,455.9560468583202,0.9110316626307854,-inf,1.5,60.0
dyear5_1.5_101,397.5426077793423,406.2001764319328,1.0049831749802058,-inf,1.5,60.0
dyear5_1.5_102,389.80967578208384,365.2549338019497,0.637434087049781,-inf,1.5,60.0
dyear5_1.5_103,373.65132476682055,390.95790480988273,0.767284859846456,-inf,1.5,60.0
dyear5_1.5_104,431.8380290494728,351.88149046707946,0.5966986474781798,-inf,1.5,60.0
dyear5_1.5_105,391.3966711236398,410.3862002228308,0.7152748488682693,-inf,1.5,60.0
dyear5_1.5_106,411.0267377758613,425.3325169793629,0.7927542231324531,-inf,1.5,60.0
dyear5_1.5_107,392.8754308513917,397.2526484073664,0.6570854081481182,-inf,1.5,60.0
dyear5_1.5_108,375.1208138720111,504.0529072759459,0.8657323878655645,-inf,1.5,60.0
dyear5_1.5_109,367.74937684062314,401.9446479305328,0.7992132229307446,-inf,1.5,60.0
dyear5_1.5_110,404.3729198813063,466.46293171769463,0.8436401673640167,-inf,1.5,60.0
dyear5_1.5_111,371.4385043314707,479.3931059162199,0.7890731817397422,-inf,1.5,60.0
