month,year,count,mean_brightness,mean_bright31,mean_frp,mean_max_temp,mean_min_temp,mean_rainfall,anomaly,average_temp
1,2009,283,326.65159010600706,302.7833922261484,24.225795053003534,28.140728164906704,16.853527863201926,39.40549127693771,11.287200301704779,22.497128014054315
2,2009,594,328.38956228956226,301.666835016835,36.87912457912458,24.294551038825283,16.348082299135168,130.7356382023499,7.946468739690115,20.321316668980224
3,2009,1402,334.30912981455066,302.08223965763193,56.50427960057061,25.52299494181944,14.93300801996262,93.3869126562745,10.589986921856822,20.22800148089103
4,2009,146,329.5493150684931,301.8253424657534,33.232191780821914,29.214002346646954,17.945747704573083,73.19065139574165,11.26825464207387,23.57987502561002
5,2009,59,326.8271186440678,300.42033898305084,38.30169491525424,30.044561616305664,17.591112546753468,50.315858860810664,12.453449069552196,23.817837081529568
8,2009,242,328.7834710743802,302.13305785123964,29.611570247933884,28.382888358333332,17.756204291666666,28.28314247108108,10.626684066666666,23.069546324999997
9,2009,780,333.2476923076923,304.7697435897436,53.60923076923076,29.20213710796915,17.478138325192802,7.747209055338753,11.723998782776349,23.340137716580976
10,2009,102,326.7480392156863,298.8627450980392,33.21568627450981,27.733803674286488,17.016325034717532,36.101899232014574,10.717478639568956,22.37506435450201
11,2009,33,324.25757575757575,302.07272727272726,24.312121212121212,29.488311536384348,19.66475168863932,41.45698399977251,9.823559847745027,24.576531612511836
12,2009,70,322.31857142857143,299.8514285714285,27.852857142857143,28.639590636543595,19.818149469900824,141.70866255829299,8.82144116664277,24.22887005322221
1,2010,188,325.09893617021277,300.84255319148934,28.3531914893617,29.59027208045977,16.81718243139535,96.7403036372093,12.77308964906442,23.20372725592756
2,2010,328,327.1060975609756,302.87560975609756,25.85487804878049,31.606729849056606,21.097680111949686,36.94024525974843,10.50904973710692,26.352204980503146
3,2010,490,328.554693877551,300.06326530612245,32.440816326530616,32.82955491780822,24.122514772340423,67.42590965531915,8.707040145467793,28.47603484507432
4,2010,168,324.51190476190476,299.73214285714283,28.89166666666667,32.230343175,22.915821253012048,133.93588575903615,9.314521921987954,27.573082214006025
5,2010,36,321.9166666666667,298.40555555555557,31.622222222222224,32.353411333333334,19.846825222222222,110.11601811111112,12.506586111111112,26.100118277777778
7,2010,210,324.56666666666666,297.9238095238095,32.46857142857143,25.74797693069307,15.056492780612244,21.018179739693874,10.691484150080827,20.402234855652658
10,2010,1008,330.9531746031746,303.8331349206349,33.759523809523806,30.6802777250996,19.928247680278886,23.040630482071712,10.752030044820714,25.304262702689243
11,2010,300,327.5913333333333,301.194,32.964666666666666,32.22266575,20.700949122448982,63.43072321768707,11.521716627551015,26.46180743622449
8,2011,156,327.05,300.12179487179486,37.67307692307692,27.514044389610387,18.541559814102563,44.644259534583334,8.972484575507824,23.027802101856473
9,2011,296,332.34864864864863,302.56283783783783,39.83445945945946,28.214441277027028,17.916268643243246,22.329317871751826,10.298172633783782,23.06535496013514
1,2012,1414,329.64229137199436,302.56760961810465,41.01060820367751,31.585827225433526,18.400982559940918,30.193839355395685,13.184844665492609,24.993404892687224
2,2012,3322,331.94093919325707,304.36423841059604,47.727152317880794,32.9560066006135,19.274264828404906,15.198857510245398,13.681741772208593,26.1151357145092
4,2012,866,329.30993071593537,298.76812933025406,35.175057736720554,32.137412568181816,23.678026529116945,71.7262156646778,8.45938603906487,27.907719548649382
5,2012,406,325.9502463054187,300.90985221674873,24.141379310344828,31.794252975369456,22.128773438423643,52.6934581182266,9.665479536945814,26.961513206896548
6,2012,360,321.9766666666667,297.23555555555555,23.245555555555555,30.9205724,21.017282644444446,17.488065526455696,9.903289755555555,25.968927522222224
7,2012,392,324.5408163265306,296.72857142857146,26.14030612244898,28.6502473814433,18.554628963541667,14.14500787037037,10.095618417901633,23.602438172492484
10,2012,458,331.79519650655027,304.2227074235808,34.48515283842795,30.6186226875,19.418032511160714,71.25397707589285,11.200590176339286,25.018327599330355
11,2012,186,324.2204301075269,299.5935483870968,33.623655913978496,32.44204167777778,20.477123129032258,89.61119227956989,11.964918548745523,26.45958240340502
12,2012,396,325.0292929292929,300.00656565656567,29.096969696969698,32.31492448648648,19.381602905128204,173.40362187179488,12.933321581358278,25.848263695807344
8,2013,266,324.29624060150377,299.7142857142857,23.48045112781955,28.460702922480618,18.1959927421875,47.714610185585585,10.264710180293118,23.32834783233406
9,2013,858,331.9911421911422,304.513986013986,42.56899766899767,29.971406604705884,18.53175082352941,26.367893436585366,11.439655781176473,24.25157871411765
1,2014,758,327.1308707124011,303.4736147757256,36.23931398416887,29.577700293447293,16.404061838082193,15.601866852876713,13.1736384553651,22.990881065764743
2,2014,804,327.95547263681595,300.7233830845771,32.54402985074627,30.98566084366577,19.586101160869568,34.756254427621485,11.399559682796202,25.28588100226767
3,2014,1274,333.21365777080064,300.9437990580848,60.826687598116166,29.779183236654802,18.989916818344156,64.02388961038962,10.789266418310646,24.38455002749948
